학교명,관할구군청,주소,우편번호,전화번호,팩스번호
대구상원고등학교,달서구,"대구광역시 달서구 월배로 241 , 대구상원고등학교 (상인동)",42748,053-231-6062,053-231-6179
대구서부고등학교,서구,"대구광역시 서구 국채보상로53길 32 , 대구서부고등학교 (평리동, 서부고등학교)",41775,053-231-4580,053-572-2509
대구소프트웨어마이스터고등학교,달성군,대구광역시 달성군 구지면 창리로11길 93 (구지면),43010,053-231-9226,053-614-0709
대구여자고등학교,수성구,대구광역시 수성구 달구벌대로488길 17 (범어동),42086,053-231-7300,053-741-8463
대구외국어고등학교,달서구,대구광역시 달서구 선원로11길 21 (신당동),42603,053-231-7800,053-592-8007
대구일과학고등학교,동구,"대구광역시 동구 경안로 987 (각산동, 대구일과학고등학교)",41063,053-231-7700,053-963-8015
대구일마이스터고등학교,동구,"대구광역시 동구 효동로 48 (대구일마이스터고, 효목동)",41171,053-231-8811,053-958-3502
대구반도체마이스터고등학교,달서구,"대구광역시 달서구 용산로 113 (장기동, 대구반도체마이스터고등학교)",42686,053-231-8500,053-562-7024
대구제일여자상업고등학교,달서구,대구광역시 달서구 대명천로 120 (본리동),42677,053-231-9299,053-655-2892
대구체육고등학교,북구,대구광역시 북구 칠곡중앙대로136길 29 (동호동),41404,053-231-7900,053-314-8110
대구하이텍고등학교,달서구,"대구광역시 달서구 학산남로 50 (상인동, 대구하이텍공업고등학교)",42748,053-231-8708,053-639-7391
대진고등학교,달서구,"대구광역시 달서구 화암로73길 15 (대곡동, 대진고등학교)",42768,053-231-6592,053-231-6688
도원고등학교,달서구,"대구광역시 달서구 미리샘길 52 , 도원고등학교 (도원동, 도원고등학교)",42838,053-231-6000,053-231-6007
동문고등학교,수성구,"대구광역시 수성구 효행로 17 (만촌동, 동문고등학교)",42064,053-231-6200,053-231-6282
매천고등학교,북구,대구광역시 북구 매전로 70 (태전동) 매천고등학교,41471,053-231-6700,053-231-6757
비슬고등학교,달성군,"대구광역시 달성군 현풍읍 테크노북로 100 (현풍읍, 비슬고등학교)",42995,053-231-9800,053-611-3909
상인고등학교,달서구,"대구광역시 달서구 상인로 24 (상인동, 상인고등학교)",42813,053-231-5160,053-644-8870
성산고등학교,달서구,"대구광역시 달서구 새방로7길 33 , 성산고등학교 (용산동)",42606,053-231-5700,053-584-9177
성서고등학교,달서구,"대구광역시 달서구 선원로 221 (용산동, 성서고등학교)",42606,053-231-4800,053-584-9976
수성고등학교,수성구,"대구광역시 수성구 용학로28길 36 (지산동, 수성고등학교)",42218,053-231-6436,053-783-8150
시지고등학교,수성구,"대구광역시 수성구 신매로 6 (신매동, 시지고등학교)",42283,053-231-4680,053-794-2015
와룡고등학교,달서구,대구광역시 달서구 선원로23북길 20 (이곡동),42604,053-231-5030,053-586-1689
운암고등학교,북구,"대구광역시 북구 학정로 378 (구암동, 운암고등학교)",41428,053-231-5350,053-323-2864
칠성고등학교,북구,"대구광역시 북구 칠성로 13 (칠성동2가, 칠성고등학교)",41586,053-231-6910,053-355-6775
포산고등학교,달성군,"대구광역시 달성군 현풍읍 비슬로 556-13 (현풍읍, 포산고등학교)",43005,053-231-5310,053-616-1295
학남고등학교,북구,대구광역시 북구 학남로 78 (국우동),41420,053-231-5870,053-326-3867
함지고등학교,북구,대구광역시 북구 학정로48길 46 (구암동),41473,053-231-6840,053-314-3507
호산고등학교,달서구,"대구광역시 달서구 달서대로109길 86 (호산동,호산고등학교)",42709,053-231-7100,053-584-9404
화원고등학교,달성군,"대구광역시 달성군 화원읍 비슬로 2458 (화원읍, 화원고등학교)",42957,053-231-5462,053-643-6325
효령고등학교,군위군,"대구광역시 군위군 효령면 중리길 6-25 (효령면,효령중고등학교)",43130,054-380-4622,054-383-1361
강북고등학교,북구,대구광역시 북구 태전로 100 (태전동),41453,053-235-5951,053-323-2460
경명여자고등학교,북구,"대구광역시 북구 칠성로17길 18 (칠성동2가,경명여자중고등학교)",41578,053-235-7200,053-426-0951
경북공업고등학교,중구,대구광역시 중구 남산로 20 (남산동),41972,053-235-8500,053-252-5045
경북여자상업고등학교,남구,대구광역시 남구 명덕로38길 36 (대명동),42410,053-235-9398,053-652-4607
경북예술고등학교,남구,"대구광역시 남구 중앙대로47길 30 (대명동, 경북예술고등학교)",42410,053-235-8299,053-622-4199
경상고등학교,북구,"대구광역시 북구 공항로15길 24 (복현동, 경상고등학교)",41521,053-235-6011,053-384-1814
경상공업고등학교,남구,"대구광역시 남구 대경길 151 (대명동, 경상공업고등학교)",42462,053-235-8800,053-628-2365
경상여자고등학교,북구,"대구광역시 북구 침산남로9길 164 (침산동, 경상여자고등학교)",41547,053-235-8163,053-351-4152
경신고등학교,수성구,"대구광역시 수성구 달구벌대로504길 34 (범어동, 경신고등학교, 경신중학교)",42093,053-233-9600,532339622
경원고등학교,달서구,대구광역시 달서구 새방로 77 (용산동),42606,053-235-5600,053-568-1102
경일여자고등학교,남구,대구광역시 남구 효성로 37 (봉덕동),42507,053-235-7500,053-471-7784
경화여자고등학교,달서구,"대구광역시 달서구 당산로30길 20 (성당동, 경화여자고등학교, 경암중학교)",42654,053-235-7577,053-625-8650
계성고등학교,서구,대구광역시 서구 새방로 171 (상리동),41751,053-235-4159,053-254-4512
능인고등학교,수성구,"대구광역시 수성구 무학로 207 , 능인고등학교 (지산동)",42183,053-235-4420,053-766-6115
달구벌고등학교,동구,"대구광역시 동구 팔공산로2길 16 , 달구벌고등학교 (덕곡동)",41000,053-235-9845,053-981-1350
달서고등학교,달성군,"대구광역시 달성군 하빈면 하빈로 118 (하빈면, 달서고등학교)",42903,053-235-6400,053-583-0445
대건고등학교,달서구,"대구광역시 달서구 월곡로94길 46 , 대건고등학교 (월성동)",42726,053-235-4600,053-635-9628
대구관광고등학교,동구,"대구광역시 동구 동북로71길 37 (신암동,대구관광고등학교)",41182,053-235-9711,053-957-1448
대구남산고등학교,수성구,대구광역시 수성구 신천동로 364 (수성동1가),42129,053-235-6450,053-744-8266
대구동부고등학교,동구,대구광역시 동구 반야월북로 199 (각산동),41074,"053-235-6701,",053-963-7252
대구보건고등학교,달서구,"대구광역시 달서구 두류남길 10 (두류동, 대구보건고등학교, 구남중학교)",42664,053-235-9501,053-626-6462
대구여자상업고등학교,남구,"대구광역시 남구 현충로40길 50 (대명동, 대구여자상업고등학교)",42414,053-235-9190,053-622-7602
대구제일고등학교,서구,"대구광역시 서구 국채보상로 384 (비산동, 경상여중.제일고교)",41804,053-235-6802,053-571-2959
대구중앙고등학교,수성구,"대구광역시 수성구 신천동로 496 , 대구중앙고등학교 (수성동4가)",42000,053-790-0000,053-790-0081
대구혜화여자고등학교,수성구,"대구광역시 수성구 교학로12길 62 (만촌동, 혜화여자고등학교)",42077,053-235-8000,053-754-1250
대륜고등학교,수성구,대구광역시 수성구 달구벌대로 2700 (만촌동),42071,053-756-9501,053-756-9503
대원고등학교,달성군,"대구광역시 달성군 화원읍 비슬로 2658 (화원읍, 대원고등학교)",42964,053-668-1000,053-668-1144
대중금속공업고등학교,북구,"대구광역시 북구 관음로 303-12 , 대중금속공업고등학교 (읍내동)",41400,053-235-9112,053-767-7619
덕원고등학교,수성구,"대구광역시 수성구 욱수길 37 (욱수동,덕원고등학교)",42288,053-235-5346,053-235-5368
상서고등학교,달서구,"대구광역시 달서구 야외음악당로 107 (성당동, 상서고등학교)",42655,053-235-9550,053-626-8109
성광고등학교,북구,"대구광역시 북구 검단로 150 , 성광고등학교 (복현동)",41521,053-235-4785,053-384-0221
성화여자고등학교,북구,"대구광역시 북구 복현로 140 , 성화여자고등학교 (복현동, 성화여자고등학교)",41522,053-235-7680,053-383-2474
송현여자고등학교,달서구,"대구광역시 달서구 송현로 156 , 송현여자고등학교 (송현동, 송현여자중,고등학교)",42738,053-235-7900,053-628-7556
신명고등학교,중구,"대구광역시 중구 국채보상로102길 48 , 신명고등학교 (동산동)",41931,053-235-8440,053-235-8393
심인고등학교,달성군,"대구광역시 달성군 다사읍 대실역남로1길 5 , 심인고등학교 (다사읍)",42919,053-235-5101,053-235-5110
영남고등학교,달서구,"대구광역시 달서구 월곡로 300 , 영남고등학교 (상인동)",42748,053-235-4000,053-638-8085
영남공업고등학교,수성구,"대구광역시 수성구 교학로 96 (만촌동, 영남공업고등학교)",42077,053-235-8600,053-745-2772
영송여자고등학교,북구,"대구광역시 북구 태전로 92 (태전동,영송여자고등학교)",41453,053-235-8170,053-322-3922
영신고등학교,동구,대구광역시 동구 팔공로50길 32 (봉무동),41021,053-235-4700,053-981-0841
영진고등학교,북구,대구광역시 북구 동북로57길 9 (복현동),41529,053-235-5500,053-957-1657
오성고등학교,수성구,"대구 수성구 달구벌대로522길 78 (만촌동,오성고등학교)",42083,053-235-5200,053-755-2475
원화여자고등학교,달서구,"대구광역시 달서구 당산로30길 30 (성당동, 원화여자고등학교, 원화중학교)",42655,053-235-7101,053-652-4042
정동고등학교,동구,"대구광역시 동구 용계로1길 49 , 정동고등학교 (용계동, 정동고등학교)",41124,053-235-5800,053-962-1724
정화여자고등학교,수성구,"대구광역시 수성구 청호로84길 123 , 정화여자고등학교 (범어동)",42083,053-235-7311,053-745-6308
조일고등학교,동구,"대구광역시 동구 신덕로 136-11 , 조일고등학교 (신평동)",41123,053-235-9000,053-962-5846
청구고등학교,동구,대구광역시 동구 국채보상로 827 (신천동),41262,053-235-5000,053-752-3935
현풍고등학교,달성군,"대구광역시 달성군 현풍읍 비슬로 675 (현풍읍, 현풍중.고등학교)",43001,053-235-6249,053-611-5052
협성고등학교,남구,"대구광역시 남구 효성로 33 , 협성고등학교 (봉덕동)",42507,053-235-6166,053-473-1671
효성여자고등학교,달서구,"대구광역시 달서구 월곡로94길 48 , 효성여자고등학교 (월성동)",42726,053-235-7000,053-633-4566
대구남양학교,수성구,"대구광역시 수성구 무학로37안길 6 (지산동, 남양학교)",42184,053-231-3008,053-762-5256
대구성보학교,북구,"대구광역시 북구 동북로71길 9-45 (복현동, 대구성보학교)",41528,053-231-3168,053-943-0556
대구세명학교,달서구,대구광역시 달서구 새방로 62 (용산동),42607,053-231-9560,053-585-2575
대구예아람학교,달성군,"대구광역시 달성군 옥포읍 비슬로 1934 , 대구예아람학교 (옥포읍)",42974,053-235-5223,053-611-5207
대구이룸고등학교,북구,대구광역시 북구 복현로8길 16-54 (복현동),41528,053-233-7600,053-233-7605
대구해올고등학교,달서구,대구광역시 달서구 야외음악당로 42 (성당동),42679,053-231-9500,053-626-6349
대구광명학교,남구,"대구광역시 남구 성당로50길 33 , 대구광명학교 (대명동)",42400,053-231-3300,053-624-5836
대구덕희학교,남구,"대구광역시 남구 성당로50길 33 , 대구덕희학교 (대명동)",42400,053-231-3770,053-626-3061
대구보건학교,남구,"대구광역시 남구 성당로50길 33 , 대구보건학교 (대명동,대구대학교)",42400,053-231-3541,053-626-4933
대구보명학교,남구,"대구광역시 남구 성당로50길 33 (대명동, 대구대학교)",42400,053-231-3500,053-627-9783
대구선명학교,동구,대구광역시 동구 팔공산로 225 (덕곡동),41000,"053-231-3603,",053-986-7056
대구영화학교,남구,대구광역시 남구 성당로50길 33 (대명동),42400,053-231-3390,053-628-6629
경북기계공업고등학교부설대구문화예술산업학교,달서구,"대구광역시 달서구 월배로 275 (상인동,경북기계공업고등학교)",42748,053-231-3832,053-636-3859
대구예담학교,달서구,"대구광역시 달서구 구마로21길 36 , 예담학교 (본리동)",42683,053-231-9820,053-526-8603
대구온라인학교,서구,대구광역시 서구 달구벌대로 1725 (내당동),41857,053-233-9247,053-525-9301
대구고등학교부설방송통신고등학교,남구,"대구광역시 남구 중앙대로 171 (대명동, 대구고등학교)",42416,053-231-4158,053-656-7949
한남중미용정보고등학교,달성군,대구광역시 달성군 화원읍 비슬로 2614-18  ,42962,053-632-4451,053-633-4451
학력인정한남중학교,달성군,대구광역시 달성군 화원읍 비슬로 2614-18 학력인정 한남중미용정보고등학교,42962,053-632-4451,053-633-4451
학력인정한남중미용정보고등학교,달성군,대구광역시 달성군 화원읍 비슬로 2614-18 한남중미용정보고등학교,42962,053-632-4451,053-633-4451
대구교육대학교대구부설초등학교,달서구,"대구광역시 달서구 도원남로 19 (도원동, 대구교육대학교대구부설초등학교)",42831,053-234-5335,053-632-2321
남대구초등학교,남구,"대구광역시 남구 중앙대로47길 55 (대명동, 남대구초등학교)",42412,053-234-1711,053-624-1025
대구감삼초등학교,달서구,"대구광역시 달서구 당산로 123 , 감삼초등학교 (감삼동)",42651,053-234-2000,053-567-1329
대구감천초등학교,달서구,"대구광역시 달서구 구마로12길 60 (월성동, 대구감천초등학교)",42728,053-234-2730,053-636-2032
대구남덕초등학교,남구,대구광역시 남구 앞산순환로93길 33 (대명동),42490,053-234-2355,053-651-9106
대구남도초등학교,남구,대구광역시 남구 현충동길 74 (대명동),42419,053-234-0882,053-652-3880
대구남명초등학교,남구,"대구광역시 남구 큰골4길 41 , 남명초등학교 (대명동, 남명초등학교)",42453,053-234-1940,053-656-8554
대구남부초등학교,달서구,"대구광역시 달서구 야외음악당로 15길 , 46 (성당동)",42656,053-234-1006,053-651-7439
대구남송초등학교,달서구,"대구광역시 달서구 송현로 192 (본동, 대구남송초등학교)",42735,053-234-2203,053-654-5332
대구내당초등학교,달서구,대구광역시 달서구 명덕로 22-9 (두류동),42662,053-234-0401,053-626-8153
대구노전초등학교,달서구,"대구광역시 달서구 한실로 43 , 대구노전초등학교 (도원동)",42827,053-234-3370,053-636-8691
대구대곡초등학교,달서구,"대구광역시 달서구 도원남로 60 , 대구대곡초등학교 (도원동, 대곡초등학교)",42830,053-234-3204,053-634-2393
대구대남초등학교,달서구,"대구광역시 달서구 월배로68길 91 (송현동, 대남초등학교)",42823,053-234-2113,053-625-3315
대구대덕초등학교,남구,"대구광역시 남구 대명서로 28 (대명동,대덕초등학교)",42500,053-234-1051,053-621-3214
대구대명초등학교,남구,"대구광역시 남구 대명로 100 (대명동, 대명초등학교)",42485,053-234-0208,053-654-2144
대구대봉초등학교,남구,"대구광역시 남구 대봉로26길 33 (이천동,대봉초등학교)",42436,053-234-0301,053-474-4418
대구대서초등학교,달서구,대구광역시 달서구 송현로 9 (상인동),42803,053-234-2500,053-636-0313
대구대진초등학교,달서구,"대구광역시 달서구 상화로 70 , 대구대진초등학교 (대곡동)",42826,053-234-4264,053-644-7023
대구덕인초등학교,달서구,대구광역시 달서구 대명천로43길 66 대구덕인초등학교,42694,053-234-2274,053-557-9781
대구도원초등학교,달서구,"대구광역시 달서구 도원남로 100-30 (도원동,도원초등학교)",42836,053-234-3540,053-639-0767
대구본리초등학교,달서구,"대구광역시 달서구 장기로 198 (감삼동, 대구본리초등학교)",42658,053-234-1203,053-567-2113
대구봉덕초등학교,남구,"대구광역시 남구 효성로 71 (봉덕동, 봉덕초등학교)",42506,053-234-0571,053-474-7355
대구상원초등학교,달서구,"대구광역시 달서구 월곡로20길 15 (상인동, 상원초등학교)",42840,053-234-3018,053-634-8431
대구상인초등학교,달서구,"대구광역시 달서구 월곡로 211 , 대구상인초등학교 (상인동)",42793,053-234-1300,053-641-4465
대구선원초등학교,달서구,"대구광역시 달서구 선원로33길 105 (용산동,선원초등학교)",42606,053-234-3650,053-586-3714
대구성곡초등학교,달서구,"대구광역시 달서구 선원남로 127 (이곡동, 성곡초등학교)",42615,053-234-4400,053-587-0136
대구성남초등학교,달서구,대구광역시 달서구 성당로47길 35 (두류동),42668,053-234-0745,053-651-2818
대구성당초등학교,달서구,"대구광역시 달서구 대명천로 118 (본리동, 성당초등학교)",42677,053-234-1904,053-627-7885
대구성명초등학교,남구,대구광역시 남구 성당로30길 55 (대명동),42461,053-234-0910,053-656-1413
대구성산초등학교,달서구,"대구광역시 달서구 선원남로 173 (용산동,성산초등학교)",42616,053-234-3725,053-586-5962
대구성서초등학교,달서구,"대구광역시 달서구 달구벌대로 1339 (이곡동, 성서초등학교)",42620,053-234-1120,053-586-0684
대구성지초등학교,달서구,"대구광역시 달서구 새동네로 27 (용산동, 대구성지초등학교)",42622,053-234-3275,053-586-5357
대구송일초등학교,달서구,"대구광역시 달서구 학산로2길 38 , 대구송일초등학교 (월성동)",42750,053-234-2640,053-638-9205
대구송현초등학교,달서구,대구광역시 달서구 송현로 128 (송현동),42743,053-234-1481,053-621-4133
대구신당초등학교,달서구,"대구광역시 달서구 서당로 14 (신당동, 신당초등학교)",42613,053-234-3030,053-234-3077
대구신서초등학교,달서구,대구광역시 달서구 계대동문로3길 46 (신당동),42608,053-234-3820,053-586-4982
대구신월초등학교,달서구,"대구광역시 달서구 조암남로 100 (월성동,신월초등학교)",42755,053-234-5000,053-639-5720
대구신흥초등학교,달서구,"대구광역시 달서구 두류공원로 257 , 신흥초등학교 (두류동)",42647,053-234-0700,053-626-8003
대구영선초등학교,남구,"대구광역시 남구 영선길 96 (이천동,대구영선초등학교)",42423,053-234-0470,053-475-6053
대구와룡초등학교,달서구,"대구광역시 달서구 선원남로 22 , 대구와룡초등학교 (이곡동)",42611,053-234-3081,053-583-7810
대구용산초등학교,달서구,"대구광역시 달서구 와룡로49길 80 , 대구용산초등학교 (용산동)",42631,053-234-2123,053-564-3485
대구용전초등학교,달서구,"대구광역시 달서구 용산로 260 (용산동,대구용전초등학교)",42626,053-234-4074,053-522-0019
대구용천초등학교,달서구,대구광역시 달서구 조암남로32길 55 (유천동),42761,053-234-5630,053-643-7803
대구월곡초등학교,달서구,대구광역시 달서구 상인로 40 (상인동),42813,053-234-2920,053-642-6298
대구월배초등학교,달서구,대구광역시 달서구 월배로 131 (진천동 57-1),42784,053-234-1406,053-641-1627
대구월서초등학교,달서구,"대구광역시 달서구 월배로39길 46 (상인동, 대구월서초등학교)",42780,053-234-4706,053-643-6327
대구월성초등학교,달서구,대구광역시 달서구 학산로7길 26 (월성동),42731,053-234-2584,053-636-1770
대구월암초등학교,달서구,"대구광역시 달서구 조암로6길 55 (월성동, 대구월암초등학교)",42751,053-234-5200,053-637-5199
대구월촌초등학교,달서구,대구광역시 달서구 상인서로 60 (상인동),42807,053-234-2876,053-636-6350
대구유천초등학교,달서구,"대구광역시 달서구 달서대로 39 (유천동, 대구유천초등학교)",42764,053-234-4835,053-636-1957
대구이곡초등학교,달서구,"대구광역시 달서구 선원남로 120 , 이곡초등학교 (이곡동, 이곡초등학교)",42619,053-234-3563,053-586-1366
대구장기초등학교,달서구,"대구광역시 달서구 장기로 280 (장기동, 장기초등학교)",42686,053-234-4172,053-521-0140
대구장동초등학교,달서구,대구광역시 달서구 달구벌대로304길 112 (장기동),42687,053-234-4505,053-234-4550
대구장산초등학교,달서구,"대구광역시 달서구 장산로 30 (용산동, 장산초등학교)",42630,053-234-3901,053-234-3904
대구장성초등학교,달서구,대구광역시 달서구 달구벌대로 1429-11 (장기동),42636,053-234-4578,053-234-4619
대구조암초등학교,달서구,대구광역시 달서구 조암로5길 19 (월성동),42758,053-234-5053,053-639-6478
대구죽전초등학교,달서구,"대구광역시 달서구 죽전길 127 , 대구죽전초등학교 (죽전동)",42638,053-234-1801,053-553-7979
대구진월초등학교,달서구,"대구광역시 달서구 진천로4길 32 (진천동, 대구진월초등학교)",42800,053-234-2399,053-634-8484
대구진천초등학교,달서구,"대구광역시 달서구 상화로9길 65 , 대구진천초등학교 (진천동)",42770,053-234-1564,053-634-5028
대구파호초등학교,달서구,"대구광역시 달서구 달서대로109안길 76 , 대구파호초등학교 (호산동)",42707,053-234-4101,053-591-7034
대구학산초등학교,달서구,"대구광역시 달서구 월성로 76 , 대구학산초등학교 (월성동)",42726,053-234-2453,053-643-7735
대구한샘초등학교,달서구,대구광역시 달서구 월배로11길 42 (대천동),42760,053-234-5274,053-637-2507
대구한솔초등학교,달서구,대구광역시 달서구 조암남로 172-13 (유천동),42761,053-234-5500,053-634-3494
대구한실초등학교,달서구,"대구광역시 달서구 한실로6길 108 , 대구한실초등학교 (대곡동)",42829,053-234-5800,053-641-5890
대구호산초등학교,달서구,"대구광역시 달서구 달서대로109길 116 (호산동, 대구호산초등학교)",42709,053-234-4755,053-584-7510
대구효명초등학교,남구,"대구광역시 남구 앞산순환로 707 (봉덕동,효명초등학교)",42514,053-234-1701,053-471-0355
효성초등학교,달서구,"대구광역시 달서구 송현로 81 , 효성초등학교 (송현동)",42748,053-234-9500,053-234-9555
경상중학교,남구,"대구광역시 남구 현충로48길 33 (대명동, 경상중학교)",42412,053-234-6100,053-629-4278
경혜여자중학교,남구,"대구광역시 남구 성당로18길 20 (대명동,경혜여자중학교)",42471,053-234-8420,053-651-3374
대곡중학교,달서구,"대구광역시 달서구 도원남로 5 (도원동, 대곡중학교)",42831,053-234-6805,053-234-6777
대구중학교,남구,"대구광역시 남구 대봉로 120 (이천동,대구중학교)",42436,053-234-6002,053-474-6175
대명중학교,남구,"대구광역시 남구 앞산순환로 477 (대명동, 대명중학교)",42489,053-234-7386,053-652-2546
대서중학교,달서구,"대구광역시 달서구 월배로 303 (송현동, 대서중학교)",42748,053-234-6281,053-634-0967
대진중학교,달서구,"대구광역시 달서구 화암로73길 7 (대곡동, 대진중학교)",42768,053-234-8050,053-641-1585
도원중학교,달서구,"대구광역시 달서구 미리샘길 32 , 도원중학교 (도원동,도원중학교)",42838,053-234-7070,053-634-8559
상원중학교,달서구,대구광역시 달서구 상인로 117 (상인동),42807,053-234-7761,053-641-2207
상인중학교,달서구,"대구광역시 달서구 상인로 34 , 상인중학교 (상인동)",42813,053-234-6900,053-639-4016
새본리중학교,달서구,"대구광역시 달서구 대명천로 167 , 새본리중학교 (본리동)",42683,053-234-7668,053-527-6301
성곡중학교,달서구,"대구광역시 달서구 새방로 32 (용산동, 성곡중학교)",42607,053-234-8000,053-584-9824
성당중학교,달서구,"대구광역시 달서구 대명천로 102 , 성당중학교 ",42677,053-234-6450,053-654-7245
성산중학교,달서구,대구광역시 달서구 선원남로 174 (용산동),42618,053-234-6950,053-581-4126
성서중학교,달서구,대구광역시 달서구 용산서로 63 (용산동),42630,053-234-6158,053-521-8166
성지중학교,달서구,"대구광역시 달서구 성서동로 361 (이곡동, 성지중학교)",42620,053-234-7308,053-592-8011
와룡중학교,달서구,"대구광역시 달서구 선원남로 23 (이곡동, 와룡중학교)",42610,053-234-6675,053-583-7557
용산중학교,달서구,"대구광역시 달서구 와룡로45길 72 (용산동, 용산중학교)",42632,053-234-7456,053-557-4371
월배중학교,달서구,대구광역시 달서구 월배로28길 80 (진천동),42789,053-234-7591,053-633-5690
월서중학교,달서구,"대구광역시 달서구 월배로33길 105 (월성동, 월서중학교)",42778,053-234-8170,053-643-7616
월암중학교,달서구,"대구광역시 달서구 조암로6길 33 (월성동, 월암중학교)",42753,053-234-8280,053-635-2309
이곡중학교,달서구,"대구광역시 달서구 선원로37길 65 (이곡동,이곡중학교)",42605,053-234-7160,053-588-0932
조암중학교,달서구,대구광역시 달서구 조암로 59 (월성동),42756,053-234-9321,053-641-0301
학산중학교,달서구,"대구광역시 달서구 월곡로94길 10 (월성동, 학산중학교)",42726,053-234-6651,053-632-6602
경암중학교,달서구,"대구광역시 달서구 당산로30길 20 (성당동, 경화여자고등학교, 경암중학교)",42654,053-234-9100,053-623-7436
경일여자중학교,남구,"대구광역시 남구 효성로 37 (봉덕동, 경일여자중고등학교, 우봉아트홀)",42507,053-234-9194,053-472-9004
구남중학교,달서구,대구광역시 달서구 두류남길 10 (두류동),42664,053-234-8816,053-625-8054
대건중학교,달서구,"대구광역시 달서구 월곡로94길 46 (월성동, 대건중학교)",42726,053-234-8808,053-637-8401
상서중학교,달서구,"대구광역시 달서구 야외음악당로 107 , 상서중학교 (성당동)",42655,053-234-9000,053-629-3915
송현여자중학교,달서구,"대구광역시 달서구 송현로 156 (송현동, 송현여자중,고등학교)",42738,053-234-9300,053-652-4351
영남중학교,달서구,"대구광역시 달서구 월곡로 300 , 영남중학교 (상인동, 영남중,고등학교)",42748,053-234-8700,053-634-7705
원화중학교,달서구,"대구광역시 달서구 당산로30길 30 (성당동,원화여자고등학교 원화중학교)",42655,053-608-2220,053-608-2209
협성경복중학교,남구,"대구광역시 남구 효성로 33 , 협성경복중학교 (봉덕동, 협성중고등학교)",42507,053-234-8444,053-471-6963
효성중학교,달서구,"대구광역시 달서구 월곡로94길 48 (월성동, 효성여자중,고등학교)",42726,053-234-8900,053-638-9123
경상중학교부설방송통신중학교,남구,"대구광역시 남구 현충로48길 33 (대명동, 경상중학교)",42412,053-234-6137,053-234-6129
대구가창초등학교,달성군,"대구광역시 달성군 가창면 가창로 640 (가창면, 가창초등학교)",42938,053-235-1133,053-767-0330
대구강림초등학교,달성군,"대구광역시 달성군 옥포읍 돌미로 15 , 대구강림초등학교 (옥포읍)",42974,053-235-2200,053-611-1984
대구구지초등학교,달성군,대구광역시 달성군 구지면 창리로11길 45-11 (구지면),43010,053-235-0702,053-614-0680
대구금계초등학교,달성군,"대구광역시 달성군 옥포읍 금계길 55 (옥포읍, 대구금계초등학교)",42969,053-235-0343,053-614-1676
대구금포초등학교,달성군,"대구광역시 달성군 논공읍 금포초등길 28 , 대구금포초등학교 (논공읍)",42974,053-235-0440,053-616-3775
대구남동초등학교,달성군,대구광역시 달성군 논공읍 논공로 258 (논공읍),42985,053-235-1210,053-615-6234
대구논공초등학교,달성군,"대구광역시 달성군 논공읍 논공로7길 41 (논공읍, 대구논공초등학교)",42978,053-235-1703,053-235-1709
